c,idnew,trtid4,geoid10
11,1,06037101110,"06037101110"
11,2,06037101122,"06037101122"
7,3,06037101210,"06037101210"
7,4,06037101220,"06037101220"
11,5,06037101300,"06037101300"
11,6,06037101400,"06037101400"
11,7,06037102103,"06037102103"
11,8,06037102104,"06037102104"
7,9,06037102105,"06037102105"
11,10,06037102107,"06037102107"
11,11,06037103101,"06037103101"
11,12,06037103102,"06037103102"
11,13,06037103200,"06037103200"
11,14,06037103300,"06037103300"
11,15,06037103400,"06037103400"
6,16,06037104103,"06037104103"
6,17,06037104105,"06037104105"
6,18,06037104108,"06037104108"
4,19,06037104124,"06037104124"
6,20,06037104201,"06037104201"
6,21,06037104203,"06037104203"
6,22,06037104204,"06037104204"
4,23,06037104310,"06037104310"
6,24,06037104320,"06037104320"
4,25,06037104401,"06037104401"
4,26,06037104403,"06037104403"
4,27,06037104404,"06037104404"
4,28,06037104500,"06037104500"
4,29,06037104610,"06037104610"
4,30,06037104620,"06037104620"
6,31,06037104701,"06037104701"
6,32,06037104703,"06037104703"
4,33,06037104704,"06037104704"
4,34,06037104810,"06037104810"
4,35,06037104821,"06037104821"
4,36,06037104822,"06037104822"
5,37,06037106010,"06037106010"
5,38,06037106020,"06037106020"
7,39,06037106111,"06037106111"
5,40,06037106112,"06037106112"
4,41,06037106113,"06037106113"
5,42,06037106114,"06037106114"
5,43,06037106403,"06037106403"
5,44,06037106405,"06037106405"
5,45,06037106406,"06037106406"
5,46,06037106407,"06037106407"
5,47,06037106408,"06037106408"
7,48,06037106510,"06037106510"
5,49,06037106520,"06037106520"
9,50,06037106603,"06037106603"
4,51,06037106604,"06037106604"
9,52,06037106641,"06037106641"
11,53,06037106642,"06037106642"
9,54,06037106643,"06037106643"
9,55,06037106645,"06037106645"
9,56,06037106646,"06037106646"
4,57,06037106648,"06037106648"
4,58,06037106649,"06037106649"
4,59,06037107010,"06037107010"
4,60,06037107020,"06037107020"
9,61,06037108101,"06037108101"
9,62,06037108102,"06037108102"
9,63,06037108103,"06037108103"
9,64,06037108104,"06037108104"
8,65,06037108201,"06037108201"
8,66,06037108202,"06037108202"
10,67,06037109100,"06037109100"
9,68,06037109200,"06037109200"
7,69,06037109300,"06037109300"
4,70,06037109400,"06037109400"
4,71,06037109500,"06037109500"
7,72,06037109601,"06037109601"
7,73,06037109603,"06037109603"
7,74,06037109604,"06037109604"
7,75,06037109700,"06037109700"
7,76,06037109800,"06037109800"
7,77,06037111100,"06037111100"
9,78,06037111201,"06037111201"
9,79,06037111202,"06037111202"
9,80,06037111204,"06037111204"
9,81,06037111205,"06037111205"
9,82,06037111206,"06037111206"
9,83,06037111301,"06037111301"
9,84,06037111302,"06037111302"
9,85,06037111400,"06037111400"
11,86,06037113101,"06037113101"
11,87,06037113102,"06037113102"
11,88,06037113211,"06037113211"
9,89,06037113212,"06037113212"
9,90,06037113213,"06037113213"
11,91,06037113231,"06037113231"
11,92,06037113232,"06037113232"
7,93,06037113233,"06037113233"
7,94,06037113234,"06037113234"
11,95,06037113235,"06037113235"
9,96,06037113237,"06037113237"
9,97,06037113301,"06037113301"
9,98,06037113303,"06037113303"
9,99,06037113321,"06037113321"
9,100,06037113322,"06037113322"
9,101,06037113401,"06037113401"
7,102,06037113421,"06037113421"
7,103,06037113422,"06037113422"
11,104,06037115101,"06037115101"
7,105,06037115103,"06037115103"
9,106,06037115104,"06037115104"
9,107,06037115201,"06037115201"
9,108,06037115202,"06037115202"
9,109,06037115301,"06037115301"
4,110,06037115302,"06037115302"
7,111,06037115401,"06037115401"
7,112,06037115403,"06037115403"
7,113,06037115404,"06037115404"
9,114,06037117101,"06037117101"
7,115,06037117102,"06037117102"
7,116,06037117201,"06037117201"
9,117,06037117202,"06037117202"
7,118,06037117301,"06037117301"
9,119,06037117302,"06037117302"
7,120,06037117303,"06037117303"
7,121,06037117404,"06037117404"
5,122,06037117405,"06037117405"
